# xterm patch-410 X resource compatibility baseline
# Generated from the active resource tables in the neighboring patch-410 build.
# scope<TAB>resource name<TAB>resource class<TAB>compiled default
application	iconGeometry	IconGeometry	<unset>
application	title	Title	<unset>
application	iconHint	IconHint	<unset>
application	iconName	IconName	<unset>
application	termName	TermName	<unset>
application	ttyModes	TtyModes	<unset>
application	validShells	ValidShells	<unset>
application	hold	Hold	false
application	utmpInhibit	UtmpInhibit	false
application	utmpDisplayId	UtmpDisplayId	true
application	messages	Messages	true
application	minBufSize	MinBufSize	4096
application	maxBufSize	MaxBufSize	32768
application	menuLocale	MenuLocale	C
application	notMapped	NotMapped	false
application	omitTranslation	OmitTranslation	<unset>
application	keyboardType	KeyboardType	unknown
application	cursorTheme	CursorTheme	none
application	printModeImmediate	PrintModeImmediate	0
application	printOptsImmediate	PrintOptsImmediate	9
application	printFileImmediate	PrintFileImmediate	<unset>
application	printModeOnXError	PrintModeOnXError	0
application	printOptsOnXError	PrintOptsOnXError	9
application	printFileOnXError	PrintFileOnXError	<unset>
application	sunKeyboard	SunKeyboard	false
application	sunFunctionKeys	SunFunctionKeys	false
application	tcapFunctionKeys	TcapFunctionKeys	false
application	ptyInitialErase	PtyInitialErase	false
application	backarrowKeyIsErase	BackarrowKeyIsErase	false
application	useInsertMode	UseInsertMode	false
application	zIconBeep	ZIconBeep	0
application	zIconTitleFormat	ZIconTitleFormat	*** %s
application	waitForMap	WaitForMap	false
application	ptyHandshake	PtyHandshake	true
application	ptySttySize	PtySttySize	true
application	reportCClass	ReportCClass	false
application	reportColors	ReportColors	false
application	reportFonts	ReportFonts	false
application	reportIcons	ReportIcons	false
application	reportXRes	ReportXRes	false
application	sameName	SameName	true
application	sessionMgt	SessionMgt	true
application	maximized	Maximized	false
application	fullscreen	Fullscreen	off
application	buffered	Buffered	false
application	bufferedFPS	BufferedFPS	40
vt100	allowPasteControls	AllowPasteControls	false
vt100	allowSendEvents	AllowSendEvents	false
vt100	allowColorOps	AllowColorOps	true
vt100	allowFontOps	AllowFontOps	true
vt100	allowMouseOps	AllowMouseOps	true
vt100	allowTcapOps	AllowTcapOps	true
vt100	allowTitleOps	AllowTitleOps	true
vt100	allowWindowOps	AllowWindowOps	false
vt100	altIsNotMeta	AltIsNotMeta	false
vt100	altSendsEscape	AltSendsEscape	false
vt100	allowBoldFonts	AllowBoldFonts	true
vt100	alwaysBoldMode	AlwaysBoldMode	false
